Year,Land use emissions (GtCO2),Fossil fuel and industry emissions (GtCO2)
1850,2537534418.0,196896032.0
1851,2614940969.0,198804976.0
1852,2654277661.0,207550944.0
1853,2703092970.0,217209248.0
1854,2730334370.0,255138976.00000003
1855,2747093259.0,260165984.00000003
1856,2775031046.0,277291520.0
1857,2801692131.0,279889296.0
1858,2828648700.0,284171850.0
1859,2852295418.0,301312559.0
1860,2724030209.0,330642191.0
1861,2608695475.0,347735242.0
1862,2601013372.0,354057462.0
1863,2598782217.0,377859938.0
1864,2566680834.0,407091108.0
1865,2529964028.0,432307789.0
1866,2519075782.0,445970599.0
1867,2526745069.0,477814912.0
1868,2514599524.0,490752496.0
1869,2498653742.0,521130720.00000006
1870,2691298993.0,532536752.0
1871,2799907210.0,566142960.0
1872,2849717714.0,626371792.0
1873,2922509592.0,665419040.0
1874,2972660085.0,622997248.0
1875,3011730704.0,675799152.0
1876,3042988839.0,685552720.0
1877,3088690421.0,699098528.0
1878,3130631868.0,704381729.0
1879,3176767785.0,754869509.0
1880,3221049609.0,853707188.0
1881,3214180191.0,882407475.0
1882,3281402295.0,931924710.0
1883,3339392942.0,991035684.0
1884,3354379731.0,1002177745.0
1885,3359022066.0,1009674571.0
1886,3387457493.0,1025478884.0
1887,3432583537.0,1076761678.0
1888,3442160867.0,1192276070.0
1889,3442989066.0,1191804432.0
1890,3578992101.0,1298463581.0
1891,3680594352.0,1358879690.0
1892,3722227277.0,1370094534.0
1893,3780933702.0,1353675035.0
1894,3815629453.0,1400864597.0
1895,3845596662.0,1485281339.0
1896,3881614492.0,1533711001.0
1897,3922051659.0,1606310640.0
1898,3961459815.0,1694277167.0
1899,3995635357.0,1850905966.0
1900,4107186975.000001,1952224654.0
1901,4166763405.0,2016760928.0
1902,4228741359.0,2067797613.0
1903,4257069589.000001,2256077250.0
1904,4314983942.0,2281857535.0
1905,4337628807.0,2429631367.0
1906,4356429035.0,2551869513.0
1907,4379201686.0,2885281242.0
1908,4408244325.0,2776431591.0
1909,4447997683.0,2887083061.0
1910,4457601000.0,3027588864.0
1911,4446581793.0,3082462274.0
1912,4390409048.0,3228332151.0
1913,4397685524.0,3492411249.0
1914,4390399190.0,3168341359.0
1915,4342397311.0,3125088543.0
1916,4295771203.0,3373154069.0
1917,4298310401.0,3527725678.0
1918,4319613752.0,3479185579.0
1919,4302780461.0,3014874203.0
1920,4425251596.0,3507597636.0
1921,4526540444.0,3076038222.0
1922,4568535923.0,3226445037.0
1923,4591485987.0,3661080742.0
1924,4604174581.0,3672399351.0
1925,4660596520.0,3712867713.0
1926,4656208777.0,3645190242.0
1927,4648239182.0,3981432883.0
1928,4659203862.0,3962552527.0
1929,4661702221.0,4255150726.0
1930,4765491100.0,3923058343.0
1931,4861889868.0,3505272053.0
1932,4905989930.0,3159133411.0
1933,4957102676.0,3326453782.0
1934,5014255500.0,3617657544.0
1935,5004215076.0,3796088336.0
1936,5027956474.0,4170573685.0
1937,5032669010.0,4458901333.0
1938,5067149653.0,4195242758.0
1939,5073083200.0,4438143987.0
1940,5258443588.0,4849926545.0
1941,5352161456.0,4959186226.0
1942,5356855403.0,4939724859.0
1943,5343944495.0,5023250640.0
1944,5325220029.0,5105436673.0
1945,5291821408.0,4244738093.0
1946,5261854234.0,4633477283.0
1947,5226998156.0,5130185429.0
1948,5157999517.0,5401115478.0
1949,5088511342.0,5243102933.0
1950,5445868154.0,6003238189.0
1951,5623022042.0,6379755941.0
1952,5832846190.0,6465694232.0
1953,5970607772.0,6647727815.0
1954,6163262267.0,6789936494.0
1955,6371054264.0,7443207067.0
1956,6590895372.0,7924210548.0
1957,6778723833.0,8185523970.0
1958,6990010468.0,8417600053.999999
1959,6761980913.0,8856188671.0
1960,6791999154.0,9386933671.0
1961,6822808808.0,9417462637.0
1962,6560754466.0,9750056664.0
1963,6052422309.0,10271524390.0
1964,5730903481.0,10828857570.0
1965,5192520300.0,11317232920.0
1966,4942243853.0,11865861400.0
1967,5027824468.0,12243045540.0
1968,5054606395.0,12909912520.0
1969,4735442912.0,13766570650.0
1970,4713788565.0,14897567090.0
1971,4664764385.0,15498266680.0
1972,4676368946.0,16221152270.000002
1973,4538366279.0,17078792100.000002
1974,4368461980.0,17009594409.999998
1975,5191953157.0,17046497220.0
1976,4770264346.0,17983972850.0
1977,4643330299.0,18494530820.0
1978,4228091396.0,19067767180.0
1979,4252957818.0,19610017730.0
1980,4143886286.0,19492613520.0
1981,4314896401.0,19026910180.0
1982,4233685392.0,18875760280.0
1983,4661189660.0,18998031560.0
1984,5172877065.0,19656716870.0
1985,4901381317.0,20317483520.0
1986,4828223730.0,20619623660.0
1987,4630070998.0,21266194530.0
1988,4503998531.0,22101399490.0
1989,4353715023.0,22406832520.0
1990,4299177896.0,22749574360.0
1991,4212085871.0,23238102150.0
1992,4391596566.0,22569624280.0
1993,4293191936.000001,22803495350.0
1994,4814918628.0,22964583360.0
1995,4766208930.0,23453944450.0
1996,4841017536.0,24154961210.0
1997,6670642540.0,24300550430.0
1998,5134417961.0,24206271270.0
1999,5073022132.0,24518962290.0
2000,4537286564.0,25234207250.0
2001,4164913807.0,25451054500.0
2002,4718125177.0,26039191480.0
2003,5093357214.0,27366723290.0
2004,4576294199.0,28627533030.0
2005,4099912911.0,29602777200.0
2006,4639983878.0,30583530080.0
2007,4046595993.000001,31493741590.0
2008,4138871087.0,32069444010.0
2009,4529241034.0,31607042410.0
2010,4278861401.000001,33343300450.0
2011,4831137937.0,34468451050.0
2012,4676439817.0,34974075150.0
2013,4316789196.0,35283025440.0
2014,4563694802.0,35534442950.0
2015,4766905795.0,35496406340.0
2016,3703574520.0,35452459300.0
2017,3662879316.0,35925737690.0
2018,3857538704.0,36646139790.0
2019,3825410667.0,36702502900.0
2020,3209992961.0,34807259100.0
